Year,Category,Round,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
2014,Lottery Players,Round2,17,BOS,James Young,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-3.4,-0.3
2014,Lottery Players,Round2,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-3.4,-0.8
2014,Lottery Players,Round2,19,CHI,Gary Harris,Michigan State,6,368,10663,4459,961,779,0.454,0.36,0.803,29,12.1,2.6,2.1,18.1,0.082,-0.9,3
2014,Lottery Players,Round2,20,TOR,Bruno Caboclo,,6,96,1233,407,247,71,0.397,0.314,0.836,12.8,4.2,2.6,0.7,1.5,0.057,-2.4,-0.1
2014,Non-lottery Players,Round3,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3,0.108,-2.6,-0.1
2014,Non-lottery Players,Round3,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,1.7,0.2
2014,Non-lottery Players,Round3,23,UTA,Rodney Hood,Duke,6,341,9326,4247,980,645,0.426,0.372,0.839,27.3,12.5,2.9,1.9,17.1,0.088,-0.5,3.4
2014,Non-lottery Players,Round3,24,CHH,Shabazz Napier,UConn,6,340,5876,2382,645,840,0.397,0.346,0.815,17.3,7,1.9,2.5,8.3,0.068,-0.6,2.1
2014,Non-lottery Players,Round3,25,HOU,Clint Capela,,6,334,8674,4075,3243,324,0.634,0,0.526,26,12.2,9.7,1,36.4,0.201,1.9,8.5
2014,Non-lottery Players,Round3,26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,0.343,0.295,0.81,18,6,2.4,0.5,0.9,0.021,-3.9,-1
2014,Non-lottery Players,Round3,27,PHO,Bogdan Bogdanović,,3,201,5632,2674,637,694,0.432,0.37,0.803,28,13.3,3.2,3.5,8,0.068,-0.7,1.9
2014,Non-lottery Players,Round3,28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,0.37,0.333,0.813,5.7,2,0.5,0.5,0.1,0.007,-4.3,-0.2
2014,Non-lottery Players,Round3,29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,0.346,0.312,0.24,14.1,2.5,2.4,0.3,0.7,0.03,-3.5,-0.4
2014,Non-lottery Players,Round3,30,SAS,Kyle Anderson,UCLA,6,359,7022,1936,1428,704,0.492,0.307,0.698,19.6,5.4,4,2,17.6,0.12,1.5,6.2
2014,Non-lottery Players,Round4,31,MIL,Damien Inglis,,1,20,156,36,31,10,0.351,0.231,0.875,7.8,1.8,1.6,0.5,-0.1,-0.024,-5.6,-0.1
2014,Non-lottery Players,Round4,32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,0.412,0.29,0.776,14.1,5.3,2.2,0.6,1.3,0.03,-2.8,-0.4
2014,Non-lottery Players,Round4,33,CLE,Joe Harris,Virginia,6,325,7860,3332,1014,521,0.474,0.423,0.786,24.2,10.3,3.1,1.6,14.2,0.087,-0.8,2.3
2014,Non-lottery Players,Round4,34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,0.346,0.263,0.75,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.9,-0.8
2014,Non-lottery Players,Round4,35,UTA,Jarnell Stokes,Tennessee,3,28,151,67,40,7,0.581,,0.531,5.4,2.4,1.4,0.3,0.6,0.202,0.1,0.1
2014,Non-lottery Players,Round4,36,MIL,Johnny O'Bryant,LSU,4,147,1684,509,352,69,0.402,0.36,0.663,11.5,3.5,2.4,0.5,0.2,0.006,-6.2,-1.8
2014,Non-lottery Players,Round4,37,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,,,,,
2014,Non-lottery Players,Round4,38,DET,Spencer Dinwiddie,Colorado,6,317,8162,4103,875,1578,0.41,0.318,0.793,25.7,12.9,2.8,5,18.6,0.109,0.3,4.8
